id,name,description,cost,image,subcategory,availability,,,,,,
1,Вино Fiorelli Spritz 750ml-розовое полусладкое со вкусом апельсина и грейпфрута. (Италия),"Fiorelli Spritz - невероятно вкусный всемирно известный коктейль Шпритц на основе итальянского белого вина. Обладает ярким розовым цветом. Аромат - цитрусово-фруктовый, свежий. Вкус - немного горьковатый, с нотами апельсина, грейпфрута и пряных трав. Готовый коктейль Spritz от бренда Fiorelli - это идеальное решение для летней вечеринки. Лучше всего подходит охлажденным, со льдом.",115,/alcohol/8-wine/FiorelliSpritz.jpg,8,true,,,,,,
2,Вино TOSO Fragolino Bianco 750ml-7% белое полусладкое со вкусом земляники.  (Италия)  ,"Общая информация:
Игристое вино Фраголино Бьянко / Fragolino Bianco, Toso - это легкий освежающий напиток, созданный руками мастеров известной итальянской компании Toso, расположенной в винодельческом регионе Пьемонт.
Винченцо Тосо - основатель поместья Toso, переехал в Пьемонт в начале ХХ столетия. Он был воодушевлен идеей создания игристых вин из виноградного сорта Мускат, которым славились местные виноградники.

На сегодняшний день у руля компании стоят наследники Винченцо Тосо, которые не только отдают дань традициям и секретам ремесла, накопленным за более чем столетнюю историю винокурни, но и активно внедряют ультрасовременные технологии. Такой подход к производству дает возможность тщательно контролировать все его этапы, увеличивая при этом объем выпускаемой продукции. Вместе с тем вина сохраняют свою первозданную утонченность вкуса.
Белое игристое сладкое вино Фраголино Бьянко создано из винограда сорта Мускат, который когда-то покорил сердце основателя винодельческого Дома Тосо. Напиток приготовлен по известному методу Шарма, при котором процесс вторичного брожения проходит в специальных резервуарах под давлением. Вино Фраголино Бьянко от Toso отличается полновесным вкусом и одновременно приятной легкостью.

Вкус:
Освежающе-виноградный, с сочными нотами Муската и приятным легким фруктовым послевкусием.

Аромат:
Легкий, с мягкими тонами белого винограда и яркой цветочной ноткой.

Цвет:
Бледно-соломенный, с нежными золотистыми переливами и устойчивым перляжем.

Гастрономическая сочетаемость:
Белое игристое вино признано отличным аперитивом. Выбор блюд, сочетаемых с этим напитком, широк: легкие закуски, салаты, белое мясо, фрукты, пряные сыры. Представленное вино обязательно подают охлажденным до температуры 6-8 С.

Сорт винограда:
Мускат.

Регион:
Италия, Пьемонт.",95,/alcohol/8-wine/FragolinoBiancoTOSO.jpg,8,true,,,,,,
3,Вино TOSO Fragolino Rosso 750ml-7% красное полусладкое со вкусом земляники. (Италия),"Fragolino - ароматизированное игристое красное вино, изготовленное из 70% винограда Монтепульчано и 30% винограда Барбера, с каплей (0,1%) натурального аромата дикой клубники.

Цвет: ярко-рубиново-красный с фиолетовыми отблесками.
Букет: Сильный аромат сладкой спелой клубники.
Вкус: фруктовый и манящий, с ароматом спелой, жизнерадостной клубники. Восхитительно шипучий и сладкий с долгим послевкусием.

В прошлом фраголино готовили из винограда сорта «Изабелла», который иногда называют «ува фрагола», что переводится как клубничный виноград. Этот сорт винограда принадлежит не к семейству Vitis Vinifera, а к Vitis Labrusca. Оригинальный Fragolino был запрещен в Европе, потому что трудно контролировать уровень метанола во время производства вина, а метанол может быть ядовитым.

Крепость: 7%
RS: 90 грамм / литр
Кислотность: 4,5",95,/alcohol/8-wine/Fragolino-RossoTOSO.jpg,8,true,,,,,,
4,Вино TOSO Pesca 750ml-7% белое полусладкое со вкусом персика. (Италия) ,"Если Вам нравятся сладкие и ароматные вина, тогда «Toso Pesca Mellow» станет одним из Ваших фаворитов. Это игристый напиток, для которого характерны соломенно-желтый цвет и отчетливый фруктовый аромат с доминирующими нотками персика. Вино «Toso Pesca Mellow» произведено из натурального сока персика и винограда белых сортов, поэтому оно отлично оттеняет вкус сладких десертов, тортиков, пирожных или фруктов. За бокалом «TosoPesca Mellow» можно посплетничать о жизни с подругами во время девичника или провести романтический вечер с любимым.",95,/alcohol/8-wine/PescaTOSO.jpg,8,true,,,,,,
5,Вино Fragolino Novellina Pera Mellow белое сладкое 0.75 л 7% (Италия),"Легкое игристое вино с ароматом спелых груш Fragolino Novellina Pera изготовлено из элитных белых сортов винограда, выращенных на севере и востоке Италии. Вино имеет золотистый оттенок и приятную фруктовую кислотность. Свежее послевкусие груши в молодом игристом напитке идеально сочетается с сырной нарезкой, фруктами и десертами.

Эногастрономия
Fragolino Novellina с фруктовыми нотками можно подавать в качестве изысканного аперитива, чтобы пробудить аппетит у гостей или в качестве основного легкого алкогольного напитка под холодные закуски и приятное общение. Для шумной вечеринки или праздничного стола можно приготовить оригинальные игристые миксы и элегантные коктейли с добавлением «шипучего» вина.",88,/alcohol/8-wine/PeraMellowNOVELLINA.jpg,8,true,,,,,,
6,"VINORO MALVASIA DOLCE 0,75l-6%, вино игристое белое сладкое. (Италия) ","Вино изготовлено из винограда сорта малвазия, золотистого «соломенного» цвета, имеет приятный абрикосовый послевкусие.
VINORO MALVASIA DOLCE - белое, сладкое игристое вино с тонким ароматом, нежным послевкусием белых фруктов, мускатного ореха и абрикоса. Идеально сочетается с сыром, фруктами или сладкими десертами. Вино создано из винограда сорта малвазия, что прорастает на виноградниках региона Пьяченза. Сбор урожая происходит только тогда, когда ягоды достигли оптимальной зрелости, после чего они подвергаются традиционной винификации. Процесс с четким контролем температуры. Благодаря этому вино имеет богатый элегантный вкус и легкую текстуру с богатым перляжем (искрящимися пузырьками) Именно этот сорт винограда выращивал и упоминал в своих трудах знаменитый Леонардо да Винчи.",105,/alcohol/8-wine/VinoroMalvasiaDolce.jpg,8,true,,,,,,
7,"VINORO LAMBRUSCO BIANCO 0,75l-8%, вино игристое белое полусладкое. (Италия) ","Вино изготовлено из винограда сорта Ламбруско, приятного соломенно-желтого цвета. Этому вину присущ приятный, легкий, освежающий вкус. Аромат наполнен квитково- фруктовыми нотками. Вино выполняет роль прекрасного аперитива, а также хорошо сочетается с рыбными блюдами, белым мясом, сырами.
VINORO LAMBRUSCO BIANCO - это высококачественное игристое вино, сочетающий в себе лучшие качества вин Ламбруско. Обладает легкой текстурой с богатым перляжем (искрящимися пузырьками). Виноград сорта Ламбруско был известен еще во времена Римской Империи. Вино, производится из него, имеет богатую историю и традиции. Ламбруско дель Эмилия торговой марки VINORO поразит всех ценителей превосходным качеством и стилем.",90,/alcohol/8-wine/VinoroLambruscoGreen.jpg,8,true,,,,,,
8,"VINORO CORTE ROSSO 0,75l-7%, вино игристое красное полусладкое. (Италия)","Винный игристый напиток, произведенный на основе отборочного вина разных сортов. Обладает насыщенным красным цветом и наполненным вкусом. Этому напитку присущ приятный, легкий, освежающий вкус. Аромат наполнен цветочно-фруктовыми нотками. Послевкусие долгое с фоновым привкусом спелых ягод и вишни. Хорошо сочетается с другими блюдами, пастой и пицой.
VINORO CORTE ROSSO относится к линейке специальных сортов вин, которые создаются лично виноделами компании. Неповторимый насыщенный вкус, глубокий красный цвет и бархатный аромат не оставит равнодушными ценителей легких полусладких вин.",95,/alcohol/8-wine/VinoroCorteRosso.jpg,8,true,,,,,,
9,"VINORO Fragolino BIANCO 0,75l-7% белое полусладкое со вкусом земляники. (Италия)",Описание отсутствует,92,/alcohol/8-wine/VinoroFragolinoBIANCO.jpg,8,true,,,,,,
10,"VINORO Fragolino Rosso 0,75l-7%  красное полусладкое со вкусом земляники. (Италия) ",Описание отсутствует,92,/alcohol/8-wine/VinoroFragolinoROSSO.jpg,8,true,,,,,,
11,"VINORO CORTE BIANCO 0,75l-7%, вино игристое белое полусладкое. (Италия)","Винный игристый напиток, произведенный на основе отборочного вина разных сортов. Обладает элегантным, светлым желтым цветом и наполненным вкусом. Этому напитку присущ приятный, легкий, освежающий вкус. Аромат наполнен цветочно-фруктовыми нотками. Послевкусие долгое с фоновым привкусом фруктов и винограда. Хорошо сочетается с другими блюдами, пастой и пиццой.
VINORO CORTE BIANCO относится к линейке специальных сортов вин, которые создаются лично виноделами компании. Неповторимый насыщенный вкус, глубокий красный цвет и бархатный аромат не оставит равнодушными ценителей легких полусладких вин.",95,/alcohol/8-wine/VinoroCorteBianco.jpg,8,true,,,,,,
12,"VINORO LAMBRUSCO ROSSO 1,5l-8%, вино игристое красное полусладкое. (Италия)","Вино изготовлено из винограда сорта Ламбруско, глубокого гранатового цвета. Этому вину присущ приятный, легкий, освежающий ягодный вкус. Аромат наполнен цветочно-фруктовыми нотками.

Вино выполняет роль прекрасного аперитива, а также хорошо сочетается с различными закусками, пиццей и сырами.",170,/alcohol/8-wine/VinoroLambruscoRosso.jpg,8,true,,,,,,
13,"VINORO FRIZZANTE BIANCO 1,5l-8%, вино игристое белое полусладкое. (Италия)","Винный игристый напиток, произведенный на основе отборочного вина разных сортов. Обладает элегантным, золотистым цветом и наполненным вкусом. Этому напитку присущ приятный, легкий, освежающий вкус. Аромат наполнен цветочно-фруктовыми нотками. Послевкусие долгое с фоновым привкусом фруктов и винограда. Хорошо сочетается с другими блюдами, рыбой и сырами.",170,/alcohol/8-wine/VinoroFrizzanteBianco.jpg,8,true,,,,,,
14,Красное сухое вино Nero D’Avola «Terre Siciliane» 1.5л,"Красное сухое сицилийское вино из винограда сорта Неро Д'Aвола - обладает насыщенным вкусом с шелковистой текстурой и легкими фруктовыми нотками . Вино красно-рубинового цвета с выразительным виноградным ароматом , идеально сочетается с острыми и хорошо приправленными блюдами, такими как мясо на гриле, а также твердым изысканным сыром ",null,/alcohol/8-wine/NeroDAvola2015.jpg,8,true,,,,,,
