subcategory,order_id,name,description,cost,image,availability
0,0,Кофе Jacobs Cronat Kraftig 200г. (Германия),"Jacobs Cronat Kraftig – это натуральный растворимый кофе. Стеклянные банки, в которых сохраняется продукт, помогают сохранить всю гамму вкусовых качеств, а также неповторимый аромат всеми любимого напитка. Сублимированный кофе Кронат имеет приятный вкус и насыщенный аромат. Кофе Якобс – это качественный растворимый кофе по доступной цене.

Благодаря удивительному сочетанию отборных зерен, а также процессу их деликатного обжаривания, кофе Cronat имеет особенный мягкий вкус. А еще, восхитительный аромат настоящего королевского напитка. Кофе производится в Австрии при использовании современных технологий. Для создания кофе используются отборные зерна, выращенные на лучших плантациях. ",205,/food/coffee/jacobsCronat.jpg,true
0,1,Кофе Cafe d'Or Gold растворимый 200г. (Польша),"Кофе растворимый Cafe d'Or Gold 200гр. Польша Cafe DOr Gold – это растворимый кофе из Польши. Этот напиток имеет глубокий вкус и яркий отчетливый аромат натуральных зерен. Продукт изготовлен по современной технологии “freeze dried” – так называемой сублимации. После завершения процесса сублимации, зерна сберегают высокое содержание кофеина и все полезные компоненты. Кроме того, вкус и аромат, приобретают большую насыщенность, глубину и яркость",110,/food/coffee/cafeDorGold.jpg,true
0,2,Кофе Green растворимый 200г. (Польща),"Кофе Green― состоит из благородных зерен индийской Робусты. Для этого напитка характерны легкая горчинка, интенсивный аромат и крепкий вкус с оттенками какао. Робуста стимулирует организм, бодрит и тонизирует из-за более высокого содержания кофеина.
Приблизительное изготовление порций ― 120 чашек",120,/food/coffee/coffeeGreen.jpg,true
0,3,Кофе DeMontre Premium растворимый 200г. (Польша),"Кофе растворимый DeMontre Premium — это купаж из зерен арабики и робусты. Это значит, что напиток из этой смеси будет обладать традиционным сбалансированым вкусом и ароматом. В составе есть натуральный молотый кофе.

Этот кофе придаст вам силы в начале рабочего дня и поддержит их в середине, если это необходимо.",135,/food/coffee/deMontrePREMIUM.jpg,true
0,4,Кофе DeMontre Gold растворимый 200г. (Польша),"Кофе растворимый DeMontre Gold 200 г (Польша)Кофе растворимый DeMontre Gold (элитные зерна) - для изготовления компания использует высококачественные зерна арабики, которые собираются в ручную на одних из лучших плантациях южной Африки и Бразилии. После сбора урожая, сырье транспортируется на завод, где зерна подаются термической обработке, а также несколько других сложных технологических процессов, благодаря которым и получается растворимый кофе. MADE IN POLAND",135,/food/coffee/deMontreGOLD.jpg,true
0,5,Кофе ILLY CLASSICO молотый 250г. (Италия),"Натуральный молотый кофе Illy Classico классической обжарки тонкого помола — идеальный выбор для любителей кофе, которые предпочитают готовить напиток в эспрессо-машинах.

Уникальный бленд Illy Classico с мягким, богатым и насыщенным вкусом создается из сочетания 100% арабики, выращенной и тщательно отобранной из 9 лучших кофейных регионов мира. Результатом является настоящий итальянский кофе с безупречно мягким, сбалансированным, с легкой горчинкой вкусом, который идеально подходит для приготовления любых кофейных напитков.

Эксклюзивный процесс упаковки кофе Illy, происходящий под давлением и без доступа воздуха, позволяет сохранить все восхитительное богатство аромата и вкуса свежеобжаренных кофейных зерен. Наслаждение вкусом — чашка за чашкой!
",230,/food/coffee/ILLY-ClassicoClassicRoast.jpg,true
0,6,Кофе ILLY CLASSICO MOKKA молотый 250г. (Италия),"Moka торговой марки illy - это высококачественная смесь отборных сортов зерен 100% арабики средней обжарки, знаменитых своим непревзойденным изысканным ароматом уже более 50 лет. 

Идеальный баланс крепости и мягкости напитка достигнут благодаря сочетанию лучших сортов чистой арабики и средней, золотистой обжарке кофейных зерен. Кофе Илли Мока отличается тем, что полностью избавлен от горечи, радуя гурманов исключительно нежным, мягким вкусом. Хорошо различимы нотки карамели и молочного шоколада, изысканный бархатный аромат.

Природное содержание кофеина в зернах высококачественной арабики от 1,1 до 1,7%.",230,/food/coffee/ILLY-ClassicoClassicRoastTorrefactionClassique.jpg,true
0,7,Кофе ILLY Ethiopia (Эфиопия) зерно 250г. (Италия),"Кофе в зернах 250г Illy Monoarabica Ethiopia – один из тех уникальных видов кофе, которые до сих пор произрастают не на искусственно созданных плантациях, а в натуральной среде. Поскольку именно Эфиопия считается родиной кофе, Illy Ethiopia, по мнению кофейных гурманов, — самый что ни на есть подлинный кофе.

Для каждого из моносортов Illy подобрала собственную обжарку, которая полным образом раскрывает потенциал зерна. Ведь как ни крута, а 100% Арабика заслуживает 100% внимания!",230,/food/coffee/ILLY-ArabicaSelectionEfiopia.jpg,true
0,8,Кофе ILLY Colombia (Колумбия) зерно 250г. (Италия),"Солнечная Колумбия славится своими великолепными цветущими лесами, жизнерадостными людьми и прекрасной кофе. Это необычная страна с веселым нравом. Там величественные Кордильеры подпирают своими хребтами небосвод. На их крутых склонах находятся особенно плодотворные почвы и благоприятный климат, которые дарят миру отличные кофейные зерна. Причем сбор урожая там можно проводить два раза в год. Легендарная компания Illy использует арабику именно из этих замечательных мест для создания уникального моносорта Colombia. Illy Colombia отличается увлекательной сладковатым вкусом с приятным карамельным ароматом и едва уловимым привкусом медовых сухофруктов. Благодаря тому, что используется зерно высокого качества, оно обработано с помощью средней обжарки, которая открывает все характеристики благородного напитка. Наслаждайтесь этим премиальным кофе, высокое качество,",230,/food/coffee/ILLY-ArabicaSelectionColombia.jpg,true
0,9,Кофе Lavazza Qualita Rossa молотый 250 г (Италия),"Молотый кофе Lavazza Qualita Rossa 250 гр является одним из самых популярных товаров в мире. Он обладает крепковато-шоколадным вкусом и незабываемым ароматом благодаря молотым зернам Робусты - 30% из Африки, в тоже время он насыщенный, нежный и мягкий благодаря зернам Арабики - 70% из Бразилии. Данный кофе создает уникальнейший напиток, вкус которого притягивает буквально каждого кофемана или просто любителя молотого кофе. Данный бленд лучше всего подойдет для таких напитков как: эспрессо с молоком, капучино, латте макиато. Молотый кофе Lavazza Qualita Rossa (250 грамм) идеально подойдет для завтрака, что очень важно, ведь чаще всего кофе употребляется с утра.",90,/food/coffee/lavazzaQualitaRossa-SMALL.jpg,true
